Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-April-2019,196.50,200.80,194.20,199.45,197.885073645121270909,1080927,8572,213899319.00,230380,21.31,6.60,2.95
1-April-2019,202.15,204.50,194.25,195.40,198.558124094332955537,982011,10264,194986262.00,228914,23.31,10.25,-6.75
29-March-2019,196.00,206.55,194.00,201.60,201.249663214600635393,1327997,7414,267258949.00,187864,14.15,12.55,5.60
28-March-2019,191.00,197.70,191.00,193.95,195.123920536237165644,551547,3836,107620013.00,74145,13.44,6.70,2.95
27-March-2019,197.05,199.10,189.25,190.50,193.277022371330996404,664690,4425,128469304.00,140395,21.12,9.85,-6.55
26-March-2019,191.35,205.00,189.00,196.60,200.327305411003533406,2265236,13457,453788624.00,180949,7.99,16.00,5.25
25-March-2019,195.00,195.00,188.15,189.40,190.889841350337411469,347054,2053,66249083.00,37005,10.66,6.85,-5.60
22-March-2019,199.80,202.60,195.55,196.25,199.291636687623978751,594860,4081,118550623.00,61390,10.32,7.05,-3.55
20-March-2019,197.80,200.90,195.65,199.30,198.693359571847577464,585399,3930,116314894.00,72458,12.38,5.25,1.50
19-March-2019,199.40,199.40,192.80,194.25,195.915940562519909307,426936,2760,83643568.00,47905,11.22,6.60,-5.15
18-March-2019,197.90,201.00,195.35,197.90,198.005661809011582494,448090,2621,88724357.00,34232,7.64,5.65,0.00
15-March-2019,202.00,203.50,195.90,197.55,200.120752606623630303,497099,3206,99479826.00,41528,8.35,7.60,-4.45
14-March-2019,192.95,203.00,189.90,201.35,198.392958956704795525,1267369,9599,251437086.00,130394,10.29,13.10,8.40
13-March-2019,189.00,194.90,189.00,192.35,192.407570646029191773,1094966,6845,210679748.00,103024,9.41,5.90,3.35
12-March-2019,179.00,187.95,177.50,187.15,185.393443305213141725,1129319,8705,209368338.00,175710,15.56,10.45,8.15
11-March-2019,175.05,178.30,175.05,176.60,176.953387999699428914,212928,1271,37678331.00,21719,10.20,3.25,1.55
8-March-2019,176.00,176.75,173.85,175.60,175.308943532254550496,201956,1344,35404693.00,21378,10.59,2.90,-0.40
7-March-2019,177.30,179.00,173.70,175.75,176.038226574109302876,278602,1673,49044602.00,17383,6.24,5.30,-1.55
6-March-2019,176.00,180.55,174.35,177.15,177.403620546437354480,488766,2603,86708858.00,35127,7.19,6.20,1.15
5-March-2019,167.25,176.55,167.25,175.25,172.507885255059940239,390222,2891,67316372.00,84916,21.76,9.30,8.00
1-March-2019,166.10,169.20,165.25,167.20,167.177897206258806518,271106,1432,45322931.00,35161,12.97,3.95,1.10
28-February-2019,163.00,166.10,161.80,164.60,163.721302413827876107,267749,1674,43836215.00,23827,8.90,4.30,1.60
27-February-2019,168.00,169.10,163.00,164.50,165.705087615287293796,327226,1887,54223013.00,25171,7.69,6.10,-3.50
26-February-2019,165.50,167.80,162.20,166.10,165.300533829332240454,380646,2345,62920987.00,46233,12.15,5.60,0.60
25-February-2019,174.00,174.00,167.30,168.15,169.461627031764071225,937978,5502,158951278.00,145565,15.52,6.70,-5.85
22-February-2019,164.00,170.50,164.00,169.30,168.039384028828471304,282221,2013,47424243.00,53497,18.96,6.50,5.30
21-February-2019,164.00,166.80,162.00,165.70,165.124252893512241156,368756,2144,60890559.00,51692,14.02,4.80,1.70
20-February-2019,165.00,167.00,158.95,163.10,162.432520488568024916,627057,4287,101854449.00,25425,4.05,8.05,-1.90
19-February-2019,157.80,166.75,157.80,163.55,163.413508041401894229,898413,5447,146812820.00,60190,6.70,8.95,5.75
18-February-2019,156.20,160.30,155.20,156.05,157.454967957843648294,228293,1466,35945867.00,29092,12.74,5.10,-0.15
15-February-2019,163.00,163.00,154.60,158.05,157.934770299477278533,289638,2038,45743911.00,30762,10.62,8.40,-4.95
14-February-2019,157.50,164.10,156.70,162.25,160.899430387080642308,327942,2127,52765681.00,54317,16.56,7.40,4.75
13-February-2019,159.35,161.80,157.05,158.10,158.855458013830147714,318724,1940,50631047.00,32967,10.34,4.75,-1.25
12-February-2019,166.80,166.80,157.95,159.25,160.459275935398833291,465069,2419,74624635.00,37801,8.13,8.85,-7.55
11-February-2019,167.00,167.00,161.05,163.70,163.582749286283788997,311048,2072,50882087.00,22598,7.27,5.95,-3.30
8-February-2019,158.00,168.90,157.80,164.60,163.824213454036828526,744966,4342,122043469.00,62831,8.43,11.10,6.60
7-February-2019,162.00,163.50,157.10,160.05,160.760503450861836631,682728,2640,109755697.00,314037,46.00,6.40,-1.95
6-February-2019,159.50,162.05,152.10,160.05,157.407872773871328119,608680,4411,95811024.00,33610,5.52,9.95,0.55
5-February-2019,163.00,165.20,154.80,159.85,160.122761282049731142,495987,2644,79418808.00,48683,9.82,10.40,-3.15
4-February-2019,166.80,166.80,158.40,163.25,162.064003007181747714,428308,2363,69413309.00,40536,9.46,8.40,-3.55
1-February-2019,165.95,180.70,162.75,165.75,170.998243416835843951,1491532,7707,255049352.00,59761,4.01,17.95,-0.20
31-January-2019,160.10,167.50,158.55,164.65,163.075558637283575278,337473,2725,55033598.00,19688,5.83,8.95,4.55
30-January-2019,166.95,166.95,160.20,164.35,162.302573492387552756,546145,2626,88640739.00,31175,5.71,6.75,-2.60
29-January-2019,163.55,168.00,161.90,164.95,164.776557289307917164,364335,2052,60033867.00,32862,9.02,6.10,1.40
28-January-2019,159.00,167.50,158.50,163.55,162.439201252292777874,900109,5585,146212987.00,64921,7.21,9.00,4.55
25-January-2019,179.60,180.10,144.70,157.05,161.667811994394898836,1993898,10023,322349127.00,183683,9.21,35.40,-22.55
24-January-2019,177.90,183.50,174.00,177.45,179.539025624776241013,243007,2045,43629240.00,23407,9.63,9.50,-0.45
